parameter,parameter_value,log10_value,total_infected_area,total_virus_AUC,total_infected_AUC,peak_time_virus,peak_virus,peak_time_infection,peak_infection,peak_time_IFN,peak_IFN
k_E,2.0717898716924847,0.3163457056136767,0.375,33.02666552030313,8.061995089677703,3.7,8.496537776897684,3.6,1.6503353809795183,10.0,55.21089403756004
k_E,2.8787426920046086,0.4592028484708196,0.32421875,24.49567179526878,6.398611364764214,2.8,8.458912994628559,2.6,1.8811042120938746,8.7,49.623354458174006
k_E,4.000000000000001,0.6020599913279625,0.30859375,18.903852345321994,5.24701113142848,2.2,8.244681380480179,2.1,2.1541071307536006,7.4,47.5194538110463
k_E,5.557981977492552,0.7449171341851053,0.29296875,15.52078489129221,4.554609715113007,1.8,7.946059319614199,1.8,2.420042450298695,6.6,47.35670573497457
k_E,7.722790915533002,0.8877742770422482,0.27734375,13.439151315104077,4.1306647804234355,1.5,7.661199662217402,1.4,2.6915466723870356,6.0,47.34846850223469
k_E,10.730783181118907,1.030631419899391,0.26953125,12.134454590213013,3.88139040855232,1.3,7.409912386308592,1.2,2.9677873033305664,5.5,47.8950784080813
k_E,14.910374881259763,1.173488562756534,0.26953125,11.321527546551927,3.7325745339454435,1.1,7.318037981829972,1.1,3.218166717018356,5.3,48.473246472204686
k_E,20.717898716924847,1.3163457056136767,0.26953125,10.836201697944349,3.6530892939124207,1.0,7.2413507462185756,0.9,3.470213644570464,5.1,49.185062289420046
k_E,28.787426920046094,1.4592028484708197,0.26953125,10.574259234340744,3.6226470606643626,0.9,7.270901507376612,0.8,3.6938746952426,4.9,50.08006146470125
k_E,40.000000000000014,1.6020599913279625,0.26953125,10.461370284888995,3.624988495118166,0.8,7.329183311140449,0.8,3.932105044118584,4.8,51.11707023640642
delta_I,0.29999999999999993,-0.5228787452803376,0.25,7.944527692748429,22.86536437886632,1.3,5.26748490637953,2.1,5.337587021536519,10.0,648.8509694411239
delta_I,0.41684864831194124,-0.38002160242319477,0.25,8.104206538457472,17.604419438429787,1.3,5.377317199223476,2.0,4.979240464755539,10.0,486.871529592061
delta_I,0.5792093186649749,-0.2371644595660519,0.25,8.34385846450945,13.265036694588236,1.3,5.457223394962446,1.9,4.580130736234197,8.9,354.46982437137035
delta_I,0.8048087385839177,-0.09430731670890904,0.25,8.717481544951669,9.953902298454372,1.4,5.637327803098767,1.8,4.136951721769829,7.4,254.9621817751679
delta_I,1.118278116094482,0.04854982614823381,0.25,9.327336851139943,7.562223239530395,1.4,5.907473727590972,1.8,3.683694718790952,6.3,180.59660419757188
delta_I,1.553842403769363,0.19140696900537665,0.25,10.40257548545747,5.931509343135517,1.5,6.334646186525932,1.8,3.2026641306976313,5.7,124.85213378594433
delta_I,2.159057019003456,0.33426411186251953,0.26953125,12.589408254574957,5.017415242880169,1.7,7.071929096822066,1.9,2.7014820916851026,5.8,82.93809790751072
delta_I,2.9999999999999996,0.4771212547196624,0.30859375,18.90386624085556,5.247015836182885,2.2,8.244678942402844,2.1,2.154106495224467,7.4,47.519316213887414
delta_I,4.168486483119413,0.6199783975768053,0.49609375,43.079345491687654,9.100327170385992,3.5,9.187465305141489,4.8,1.647986032258271,10.0,35.10258516604396
delta_I,5.792093186649749,0.7628355404339481,0.609375,67.07187431525381,11.739537897676298,6.5,9.73962145278285,7.7,1.6048018486894575,10.0,13.198885186762407
delta_I,8.048087385839176,0.905692683291091,0.60546875,61.239576771707945,9.05674699175115,9.3,8.863134029794166,9.2,1.367014303645937,10.0,0.6114473524258267
delta_I,11.182781160944819,1.0485498261482338,0.56640625,43.73385169449909,5.989693907947676,10.0,7.064548172828538,9.9,0.9605476050799423,10.0,0.2585840331247579
delta_I,15.538424037693629,1.1914069690053766,0.515625,28.753561319806764,3.7343268651680783,10.0,4.589582505899276,10.0,0.5793545972471313,10.0,0.14037645627191506
delta_I,21.590570190034562,1.3342641118625196,0.4375,18.13385837702256,2.2732093733704923,10.0,2.8229940119008363,9.6,0.330008001341364,10.0,0.08243539819686298
delta_I,29.999999999999996,1.4771212547196624,0.375,11.130843763489603,1.3583352220539164,10.0,1.6593940014427904,10.0,0.1883144806787432,10.0,0.0507733794490152
p_V,1.0,0.0,0.3515625,4.290879677117469,7.018024044553946,4.3,0.5667014900580525,2.8,0.8688638391217093,10.0,0.8807848808764357
p_V,1.3894954943731377,0.14285714285714285,0.3671875,6.033806592695852,7.78249108399207,3.9,0.8590068176563476,2.7,1.0070224477732326,10.0,2.2540737889425264
p_V,1.93069772888325,0.2857142857142857,0.37890625,7.649952152153355,7.861045892781171,3.5,1.281948325692484,2.7,1.1609345134185487,10.0,9.767222904937162
p_V,2.6826957952797255,0.42857142857142855,0.3671875,8.955966886039171,7.137860651897464,3.2,1.887832550957186,2.5,1.329374062555702,10.0,17.82727658551721
p_V,3.72759372031494,0.5714285714285714,0.33984375,10.308376596828072,6.363986989354497,2.9,2.7505117392271248,2.3,1.5068836641795809,10.0,24.21713010861551
p_V,5.179474679231212,0.7142857142857143,0.32421875,12.075415195628898,5.689004947277829,2.6,3.9777505697535327,2.3,1.6968522962450483,9.5,29.570106805247857
p_V,7.196856730011519,0.8571428571428571,0.30859375,14.774772109777203,5.323589718559375,2.4,5.731902263406118,2.3,1.9136823133898058,8.2,37.49585115586832
p_V,10.0,1.0,0.30859375,18.903840618439254,5.24700804690376,2.2,8.244680793833137,2.1,2.154107380697082,7.4,47.51949826107281
p_V,13.894954943731374,1.1428571428571428,0.30859375,24.98633023158345,5.366314024322825,2.1,11.845306450019423,2.0,2.407104653318549,7.0,58.73718573738163
p_V,19.306977288832506,1.2857142857142858,0.30859375,33.76002256777742,5.637463042569272,1.9,17.081427302346956,2.0,2.6953467806529625,6.7,71.58337034384657
p_V,26.826957952797258,1.4285714285714286,0.32421875,46.337221700845475,6.056684491890484,1.8,24.70521290017128,1.9,3.0342866140149543,6.5,86.97983362520378
p_V,37.2759372031494,1.5714285714285714,0.33203125,64.34271054458473,6.614082524860938,1.7,35.811828252247224,1.9,3.4087976681274608,6.3,105.1722969084002
p_V,51.7947467923121,1.7142857142857142,0.35546875,90.18733376470436,7.324562639486783,1.6,51.938878541102774,1.8,3.86982095443548,6.3,126.89187085450718
p_V,71.96856730011521,1.8571428571428572,0.3984375,127.43558864036358,8.241242084457232,1.6,76.2929267057915,1.8,4.4366037917028684,6.1,154.02067039241248
p_V,100.0,2.0,0.453125,181.36702487056522,9.384092523418525,1.5,112.46868058664619,1.8,5.13634002903793,6.0,187.1174938010978
c_V,0.1,-1.0,0.33984375,99.37839659752436,7.084363309036897,2.7,16.006447261738142,2.1,2.2654045836974164,10.0,106.26693331080148
c_V,0.13894954943731377,-0.8571428571428571,0.33203125,87.49218913251943,6.854001697309093,2.6,15.369678493889486,2.1,2.2602156113911747,10.0,99.03039326757023
c_V,0.193069772888325,-0.7142857142857143,0.31640625,74.17875208815329,6.5830243767646675,2.5,14.585523797904216,2.1,2.253081394041516,10.0,90.50252968797156
c_V,0.2682695795279726,-0.5714285714285714,0.30859375,60.28290154571396,6.282098475765372,2.5,13.64391386620398,2.1,2.2433036302554807,10.0,81.00603023981596
c_V,0.37275937203149406,-0.42857142857142855,0.30859375,46.957383552201875,5.971574353021841,2.4,12.524400294969174,2.1,2.2299470186122132,10.0,71.1406285174752
c_V,0.5179474679231212,-0.2857142857142857,0.30859375,35.303973710174276,5.680414992502393,2.3,11.20693410611201,2.1,2.2117585635131976,10.0,61.757453802905616
c_V,0.719685673001152,-0.14285714285714285,0.30859375,25.950636082960038,5.435047428390441,2.3,9.776074116537226,2.1,2.1872840510752436,8.5,53.85006878909389
c_V,1.0,0.0,0.30859375,18.903840618439254,5.24700804690376,2.2,8.244680793833137,2.1,2.154107380697082,7.4,47.51949826107281
c_V,1.3894954943731377,0.14285714285714285,0.30859375,13.765098359815296,5.110333031366647,2.1,6.70231114382327,2.2,2.111057051821987,6.7,42.087810554161315
c_V,1.93069772888325,0.2857142857142857,0.30859375,10.066259356028603,5.014754793433089,2.1,5.26732464867551,2.2,2.0563636163782197,6.4,36.877136178602974
c_V,2.6826957952797255,0.42857142857142855,0.30859375,7.422470532191792,4.959456489646112,2.0,3.9988270254109644,2.2,1.98471939219281,6.4,31.42599477122157
c_V,3.72759372031494,0.5714285714285714,0.30859375,5.550662692842404,4.962726066743169,2.0,2.9355363424987653,2.2,1.8959730142200737,6.6,25.528680080587556
c_V,5.179474679231212,0.7142857142857143,0.32421875,4.252177822097431,5.073110951188087,2.0,2.0922397864693765,2.2,1.791927650911886,7.2,19.32022930775113
c_V,7.196856730011519,0.8571428571428571,0.32421875,3.380466509176104,5.3708808762204585,2.0,1.454577909640573,2.2,1.669121330454164,8.3,13.659293092985724
c_V,10.0,1.0,0.3515625,2.816806613035074,5.94407180132263,2.1,0.9861772688817882,2.4,1.5264814263642332,9.9,9.82058932549031
D_V,1.0e-6,-6.0,0.30859375,19.18844048717924,5.094260968445965,2.2,8.170770664237915,2.1,2.086218426928075,7.5,40.209838490793906
D_V,1.389495494373139e-6,-5.857142857142857,0.30859375,19.17667592616252,5.09889160468437,2.2,8.173471553473354,2.1,2.0886535268902158,7.5,40.457046314464606
D_V,1.9306977288832498e-6,-5.714285714285714,0.30859375,19.16019771372014,5.1056790879066325,2.2,8.177301198567132,2.1,2.0921136425381874,7.5,40.812804454041554
D_V,2.6826957952797274e-6,-5.571428571428571,0.30859375,19.137075706733043,5.115763627128185,2.2,8.182770210448945,2.1,2.097070381880604,7.5,41.330717668795614
D_V,3.727593720314938e-6,-5.428571428571429,0.30859375,19.10450896539233,5.131034200025189,2.2,8.190650759986548,2.1,2.1042430947112103,7.4,42.09346997764147
D_V,5.179474679231212e-6,-5.285714285714286,0.30859375,19.058644486789618,5.154493037489427,2.2,8.202148576233087,2.1,2.1147606002770747,7.4,43.23145318670258
D_V,7.196856730011514e-6,-5.142857142857143,0.30859375,18.994080038435367,5.190853324009803,2.2,8.219160400875461,2.1,2.13042032606033,7.4,44.94477095901621
D_V,1.0e-5,-5.0,0.30859375,18.903840618439254,5.24700804690376,2.2,8.244680793833137,2.1,2.154107380697082,7.4,47.51949826107281
D_V,1.3894954943731388e-5,-4.857142857142857,0.30859375,18.780433701901664,5.331843430511361,2.2,8.283407013321925,2.2,2.1912377308829036,7.3,51.31254912873969
D_V,1.9306977288832496e-5,-4.714285714285714,0.30859375,18.61834774836381,5.455031798129536,2.2,8.342440853098095,2.2,2.2538440994964963,7.2,56.68864275488645
D_V,2.6826957952797274e-5,-4.571428571428571,0.30078125,18.420729817880275,5.626188353208801,2.2,8.431333372674638,2.3,2.3646098226650274,7.0,63.91565330934415
D_V,3.727593720314938e-5,-4.428571428571429,0.30859375,18.204074412594277,5.854831209885519,2.2,8.559676650779341,2.4,2.559291431524403,6.8,73.13146306526565
D_V,5.1794746792312125e-5,-4.285714285714286,0.33984375,17.99803021032598,6.150861617025302,2.1,8.737561925572182,2.4,2.8249344785713175,6.6,84.3841819950213
D_V,7.196856730011514e-5,-4.142857142857143,0.35546875,17.839591811020043,6.525255114692154,2.1,9.019044594227042,2.3,3.170765933345639,6.3,97.7259612057883
D_V,0.0001,-4.0,0.4140625,17.765847553369408,6.991566166199889,2.1,9.329039842177368,2.3,3.6181193367145394,6.1,113.32856396751112
k_PV,0.1,-1.0,0.32421875,6.082297141441211,5.358282415442704,1.9,2.195855096254297,1.8,1.7571698538174576,10.0,10.32546260547871
k_PV,0.13894954943731377,-0.8571428571428571,0.32421875,7.270196606670224,5.077860159313026,1.9,2.7878886067657223,1.9,1.8281299482493,10.0,14.26766871695222
k_PV,0.193069772888325,-0.7142857142857143,0.30859375,8.70102218427488,4.930613665975659,2.0,3.4904554700927184,1.9,1.8919769580848418,8.8,19.383670408419675
k_PV,0.2682695795279726,-0.5714285714285714,0.30859375,10.377342270643831,4.896635416331052,2.0,4.29330199589015,1.9,1.948459147177113,8.0,25.196171813106236
k_PV,0.37275937203149406,-0.42857142857142855,0.30859375,12.275743479180221,4.935804802082783,2.1,5.1891460505217495,2.0,2.0053639219356985,7.6,31.092969290193086
k_PV,0.5179474679231212,-0.2857142857142857,0.30859375,14.358940154242942,5.017120219847895,2.1,6.165035263923164,2.1,2.0599113503487048,7.4,36.788944673076095
k_PV,0.719685673001152,-0.14285714285714285,0.30859375,16.58302802148537,5.123302447711854,2.2,7.189110272920175,2.1,2.1114566978882316,7.3,42.23626482477148
k_PV,1.0,0.0,0.30859375,18.903840618439254,5.24700804690376,2.2,8.244680793833137,2.1,2.154107380697082,7.4,47.51949826107281
k_PV,1.3894954943731377,0.14285714285714285,0.30859375,21.28315095869686,5.385974196645733,2.3,9.279129316982269,2.2,2.190632338310697,7.5,52.77395909835624
k_PV,1.93069772888325,0.2857142857142857,0.30859375,23.69401999785176,5.539444037664018,2.3,10.302626018097873,2.2,2.221483948999845,7.7,58.12298220885496
k_PV,2.6826957952797255,0.42857142857142855,0.30859375,26.125072641831625,5.706880009756915,2.3,11.236084264249437,2.2,2.2457740802568136,7.9,63.643739350742166
k_PV,3.72759372031494,0.5714285714285714,0.30859375,28.58161946935366,5.888060000175547,2.4,12.148290874729339,2.2,2.264599118681391,8.2,69.39519090886293
k_PV,5.179474679231212,0.7142857142857143,0.32421875,31.08561530602964,6.08374901230929,2.4,12.946367838350772,2.3,2.2816434422909433,8.5,75.44368526386668
k_PV,7.196856730011519,0.8571428571428571,0.32421875,33.671986047327515,6.295826335716427,2.5,13.692554014457238,2.4,2.29813521517422,8.9,81.89333739180712
k_PV,10.0,1.0,0.33203125,36.38699753637385,6.52776270344484,2.5,14.353477095539219,2.4,2.3126241310752684,9.4,88.90218287529652
p_F,0.003000000000000001,-2.5228787452803374,0.88671875,263.9928886673209,31.311570061776408,7.5,46.018967868179935,7.0,5.452749712781237,10.0,0.10803439867712392
p_F,0.004168486483119414,-2.3800216024231946,0.87890625,255.35739285180986,31.12847637071493,7.5,44.159621360487556,7.1,5.386370356501365,10.0,0.15427632719887008
p_F,0.005792093186649751,-2.237164459566052,0.8671875,243.37494386340506,30.847899747148336,7.6,41.58083289155686,7.2,5.282165806666786,10.0,0.2342291382932131
p_F,0.008048087385839177,-2.094307316708909,0.859375,225.69868544610932,30.370603830434288,7.6,37.7570699448989,7.3,5.12033046346153,10.0,0.40995204549217207
p_F,0.011182781160944824,-1.951450173851766,0.83984375,195.2812228387581,29.320329094047842,7.6,31.163840016110772,7.4,4.803386758445059,10.0,1.2281652897375437
p_F,0.015538424037693637,-1.8085930309946232,0.78515625,130.82372352598657,24.2252858827851,6.1,21.932690795607105,6.7,3.791552280472131,10.0,37.413577897181604
p_F,0.02159057019003456,-1.6657358881374804,0.52734375,60.26632099074887,13.11902679631789,3.6,13.573292172140862,4.5,2.5393605864288693,10.0,45.64716820907127
p_F,0.030000000000000013,-1.5228787452803374,0.30859375,18.903854690651414,5.2470125542376875,2.2,8.244679408541378,2.1,2.154106619252093,7.4,47.51927318584192
p_F,0.041684864831194136,-1.3800216024231946,0.25,8.057928509551676,3.089714068594987,1.6,4.7206167308553555,1.7,1.9043090273859233,5.4,68.24176005970875
p_F,0.05792093186649751,-1.2371644595660518,0.234375,4.272155538996131,2.260580025890003,1.3,2.775313882184038,1.5,1.626421021960136,4.6,88.88180272955765
p_F,0.08048087385839177,-1.094307316708909,0.2109375,2.495629470968205,1.772671254395523,1.1,1.692774111815847,1.4,1.3756399308619738,4.2,110.62775002360523
p_F,0.11182781160944821,-0.9514501738517661,0.203125,1.544349422009748,1.4287206674001582,1.0,1.063756598355417,1.3,1.1583166822219115,4.0,134.131061708784
p_F,0.15538424037693632,-0.8085930309946233,0.203125,0.9952986797961124,1.1664197317591882,0.9,0.6920495986101719,1.2,0.970765030928568,3.8,160.18040012645048
p_F,0.2159057019003456,-0.6657358881374804,0.1875,0.6608063308441118,0.9522474632430599,0.8,0.4651285759178013,1.2,0.8025877344524036,3.7,188.02391612039582
p_F,0.29999999999999993,-0.5228787452803376,0.18359375,0.4486043898703823,0.7696418704724539,0.7,0.3132719136880411,1.1,0.6568797416650798,3.7,216.08086461291714
c_F,0.001,-3.0,0.30859375,18.777886596679185,5.220624668373344,2.2,8.21611913959654,2.1,2.1527001509958446,10.0,49.575614161556985
c_F,0.0013894954943731374,-2.857142857142857,0.30859375,18.78326408627162,5.22173992069002,2.2,8.217357299405561,2.1,2.152761052185019,9.9,49.4542931762949
c_F,0.0019306977288832496,-2.7142857142857144,0.30859375,18.790839711693742,5.223329823299373,2.2,8.21907975425085,2.1,2.152846083871817,9.5,49.293079502467215
c_F,0.0026826957952797246,-2.5714285714285716,0.30859375,18.80130338487082,5.2255174728748415,2.2,8.2214715468573,2.1,2.15296405959919,9.0,49.08612070199393
c_F,0.0037275937203149418,-2.4285714285714284,0.30859375,18.815823520550808,5.22854913489151,2.2,8.224792931645554,2.1,2.153127871534825,8.6,48.821338886707586
c_F,0.005179474679231213,-2.2857142857142856,0.30859375,18.83611601206253,5.232797564601236,2.2,8.229405384276292,2.1,2.153355123645864,8.2,48.48360509818124
c_F,0.0071968567300115215,-2.142857142857143,0.30859375,18.864439465670717,5.238737879976829,2.2,8.235802677341207,2.1,2.15367017741408,7.8,48.055649843394065
c_F,0.010000000000000002,-2.0,0.30859375,18.903851448803856,5.247010941628037,2.2,8.244680312128116,2.1,2.154107083478336,7.4,47.51944681192964
c_F,0.013894954943731374,-1.8571428571428572,0.30859375,18.95899683997681,5.258621385630767,2.2,8.256987841813642,2.1,2.1547121296519927,7.0,46.850581888866984
c_F,0.019306977288832506,-1.7142857142857142,0.30859375,19.036198207072665,5.274913365719636,2.2,8.274037984576115,2.1,2.1555487711927963,6.6,46.02552517442174
c_F,0.02682695795279726,-1.5714285714285714,0.30859375,19.144757126801203,5.297949940017065,2.2,8.29762591424256,2.1,2.1567044526449948,6.3,45.01726638937231
c_F,0.0372759372031494,-1.4285714285714286,0.30859375,19.298001833763866,5.330706028086026,2.2,8.330206132974432,2.1,2.1582963266855906,6.0,43.795176031715975
c_F,0.0517947467923121,-1.2857142857142858,0.30859375,19.51585899337311,5.377799160848596,2.2,8.37509561583024,2.1,2.160481338493853,5.7,42.329810826350005
c_F,0.07196856730011521,-1.1428571428571428,0.30859375,19.828552420849146,5.4465212296465335,2.3,8.440385731069751,2.2,2.1640596119349977,5.4,40.59087285014501
c_F,0.1,-1.0,0.32421875,20.283827575434444,5.5490236418613375,2.3,8.546086840101177,2.2,2.169226295954037,5.2,38.55390520320132
D_F,0.010000000000000002,-2.0,0.2421875,5.114405821810866,2.5682012408312707,1.3,3.345377408168089,1.6,1.8070219015112328,5.1,54.693078199047385
D_F,0.013894954943731374,-1.8571428571428572,0.2421875,5.543454545484764,2.6654199861756602,1.4,3.586994159766681,1.6,1.843569157686888,5.2,54.63644931681892
D_F,0.019306977288832506,-1.7142857142857142,0.25,6.135211111759444,2.7882312376977745,1.4,3.8663438480312866,1.6,1.8765513809661396,5.3,54.33795909792326
D_F,0.02682695795279726,-1.5714285714285714,0.25,6.971713118291274,2.9518298187244767,1.5,4.291449723897687,1.7,1.9241909685440475,5.5,53.789354789319155
D_F,0.0372759372031494,-1.4285714285714286,0.25,8.18946389086778,3.1859483715812744,1.6,4.849924656673323,1.7,1.966668883471617,5.7,53.06568397170601
D_F,0.0517947467923121,-1.2857142857142858,0.26171875,10.045167532205358,3.545800914038159,1.7,5.61893879576699,1.8,2.022457449607606,6.0,52.27256693209151
D_F,0.07196856730011521,-1.1428571428571428,0.27734375,13.097210542223362,4.112145788272298,1.9,6.71588032488447,2.0,2.0842760739368744,6.5,50.09268568713892
D_F,0.1,-1.0,0.30859375,18.903840618439254,5.24700804690376,2.2,8.244680793833137,2.1,2.154107380697082,7.4,47.51949826107281
D_F,0.13894954943731377,-0.8571428571428571,0.3671875,31.119464670535898,7.623790488472752,2.7,10.305904489300625,2.6,2.21162342055313,8.7,49.50924135025994
D_F,0.193069772888325,-0.7142857142857143,0.453125,48.263412519554315,10.489093261926413,3.4,12.852753922164254,4.0,2.3821757814401514,9.3,57.22141469039553
D_F,0.2682695795279726,-0.5714285714285714,0.52734375,63.80450892708375,12.769341081209324,3.9,15.32554679523197,4.5,2.7058121729716254,9.7,64.71420704532935
D_F,0.37275937203149406,-0.42857142857142855,0.58203125,75.71075211131026,14.360431222115228,4.3,17.26893157646281,4.9,2.947478812094608,9.9,69.8551353354549
D_F,0.5179474679231212,-0.2857142857142857,0.6171875,84.40951144826755,15.44294767409761,4.4,18.695443484471394,4.9,3.0882334591823852,10.0,73.16303146784912
D_F,0.719685673001152,-0.14285714285714285,0.640625,90.69984380388345,16.203063559718963,4.6,19.699385618332755,5.3,3.208049462998199,10.0,75.88059540346433
D_F,1.0,0.0,0.65625,95.24423337665516,16.709658989024465,4.7,20.428695180914662,5.3,3.2854607772805307,10.0,77.12975108590699
delta_FV,0.0001,-4.0,0.30859375,18.95210401403503,5.249578455514436,2.2,8.244718217380894,2.1,2.1541068264637175,7.4,47.57671579651949
delta_FV,0.00013894954943731373,-3.857142857142857,0.30859375,18.94997953860499,5.249462453517923,2.2,8.244716849055445,2.1,2.1541073494222207,7.4,47.57435032378727
delta_FV,0.00019306977288832496,-3.7142857142857144,0.30859375,18.947041676227084,5.249304827693144,2.2,8.244713562357562,2.1,2.15410730662905,7.4,47.57092626071795
delta_FV,0.00026826957952797245,-3.5714285714285716,0.30859375,18.942983231799435,5.249090188773559,2.2,8.244711103616394,2.1,2.1541072528167535,7.4,47.56611634084223
delta_FV,0.00037275937203149417,-3.4285714285714284,0.30859375,18.93734026860127,5.248788036349427,2.2,8.244706218305511,2.1,2.154107286905986,7.4,47.55947552780767
delta_FV,0.0005179474679231213,-3.2857142857142856,0.30859375,18.92956879904642,5.248381223298053,2.2,8.244702959052878,2.1,2.1541066709483365,7.4,47.54993901978375
delta_FV,0.0007196856730011522,-3.142857142857143,0.30859375,18.918744323934614,5.247800274855556,2.2,8.244691464764278,2.1,2.1541071191022025,7.4,47.53725718510994
delta_FV,0.001,-3.0,0.30859375,18.903840618439254,5.24700804690376,2.2,8.244680793833137,2.1,2.154107380697082,7.4,47.51949826107281
delta_FV,0.0013894954943731374,-2.857142857142857,0.30859375,18.88332880235472,5.2459226109085435,2.2,8.244664710814709,2.1,2.1541068088115676,7.4,47.49478486466871
