parameter,log10_value,param_value,contained,solver_success
a_F,1.9944112176190298,98.72138000000004,0,1
a_F,2.127744550952363,134.1975388193475,0,1
a_F,2.2610778842856964,182.42228203424906,0,1
a_F,2.3944112176190298,247.97689492190128,0,1
a_F,2.527744550952363,337.0889769022991,0,1
a_F,2.6610778842856964,458.22405504684394,0,1
a_F,2.7944112176190297,622.8897976822007,0,1
a_F,2.927744550952363,846.7292272923312,0,1
a_F,3.0610778842856967,1151.0067864634673,0,1
a_F,3.19441121761903,1564.6284311236684,1,1
a_F,3.3277445509523633,2126.8876571981996,1,1
a_F,3.4610778842856966,2891.1983294930274,1,1
a_F,3.59441121761903,3930.1689264936635,1,1
a_F,3.7277445509523632,5342.500247461356,1,1
a_F,3.8610778842856965,7262.361854656698,1,1
a_F,3.99441121761903,9872.138000000004,1,1
a_F,4.127744550952364,13419.753881934765,1,1
a_F,4.2610778842856964,18242.228203424907,1,1
a_F,4.39441121761903,24797.689492190155,1,1
a_F,4.527744550952363,33708.89769022991,1,1
a_F,4.661077884285697,45822.405504684444,1,1
a_F,4.79441121761903,62288.97976822006,1,1
a_F,4.927744550952363,84672.9227292332,1,1
a_F,5.061077884285696,115100.6786463466,1,1
a_F,5.19441121761903,156462.84311236686,1,1
a_F,5.327744550952363,212688.76571981976,1,1
a_F,5.461077884285697,289119.83294930274,1,1
a_F,5.5944112176190295,393016.892649366,1,1
a_F,5.727744550952363,534250.0247461356,1,1
a_F,5.861077884285696,726236.185465669,1,1
a_F,5.99441121761903,987213.8000000004,1,1
