parameter,log10_value,param_value,contained,solver_success
k_PV,-1.1765790501625468,0.06659183,1,1
k_PV,-1.0432457168292135,0.09052202969079634,1,1
k_PV,-0.9099123834958801,0.12305169957547968,1,1
k_PV,-0.7765790501625468,0.16727111422639263,1,1
k_PV,-0.6432457168292135,0.22738105813301868,1,1
k_PV,-0.5099123834958802,0.3090918945378405,1,1
k_PV,-0.37657905016254684,0.42016604220876475,1,1
k_PV,-0.2432457168292135,0.5711553947066207,1,1
k_PV,-0.10991238349588016,0.7764037359791917,1,1
k_PV,0.023420949837453176,1.0554093804052778,1,1
k_PV,0.15675428317078652,1.4346774862470593,1,1
k_PV,0.29008761650411985,1.950238009779478,1,1
k_PV,0.42342094983745315,2.65106850232795,1,1
k_PV,0.5567542831707865,3.60374691129626,1,1
k_PV,0.6900876165041199,4.898776394979319,1,1
k_PV,0.8234209498374532,6.659183000000001,1,1
k_PV,0.9567542831707865,9.052202969079634,1,1
k_PV,1.0900876165041198,12.305169957547964,1,1
k_PV,1.223420949837453,16.72711142263926,1,1
k_PV,1.3567542831707866,22.738105813301875,1,1
k_PV,1.49008761650412,30.909189453784055,1,1
k_PV,1.6234209498374532,42.01660422087648,1,1
k_PV,1.7567542831707865,57.11553947066207,1,1
k_PV,1.8900876165041198,77.64037359791917,1,1
k_PV,2.0234209498374534,105.5409380405278,1,1
k_PV,2.1567542831707867,143.46774862470596,1,1
k_PV,2.29008761650412,195.02380097794784,1,1
k_PV,2.4234209498374533,265.10685023279507,1,1
k_PV,2.5567542831707866,360.37469112962606,1,1
k_PV,2.69008761650412,489.8776394979319,1,1
k_PV,2.823420949837453,665.9183000000002,1,1
