parameter,log10_value,param_value,contained,solver_success
p_V,-0.5334106840688015,0.29281229999999997,1,1
p_V,-0.4000773507354682,0.3980362713328401,1,1
p_V,-0.2667440174021349,0.5410731492377551,1,1
p_V,-0.13341068406880155,0.7355112433491126,1,1
p_V,-7.735073546821051e-5,0.9998219092096267,1,1
p_V,0.1332559825978651,1.359114302024475,1,1
p_V,0.26658931593119845,1.8475207123913766,1,1
p_V,0.3999226492645318,2.5114390876696646,1,1
p_V,0.5332559825978651,3.413940774125892,1,1
p_V,0.6665893159311984,4.640762209388812,1,1
p_V,0.7999226492645318,6.308449767880229,1,1
p_V,0.9332559825978651,8.57543150850414,1,1
p_V,1.0665893159311985,11.657067625626182,1,1
p_V,1.1999226492645318,15.84610937579811,1,1
p_V,1.3332559825978652,21.540510050551283,1,1
p_V,1.4665893159311985,29.281229999999997,1,1
p_V,1.5999226492645318,39.803627133284,1,1
p_V,1.733255982597865,54.1073149237755,1,1
p_V,1.8665893159311984,73.55112433491124,1,1
p_V,1.999922649264532,99.9821909209627,1,1
p_V,2.133255982597865,135.91143020244746,1,1
p_V,2.2665893159311983,184.7520712391376,1,1
p_V,2.3999226492645316,251.14390876696632,1,1
p_V,2.5332559825978653,341.39407741258935,1,1
p_V,2.6665893159311986,464.0762209388814,1,1
p_V,2.799922649264532,630.8449767880231,1,1
p_V,2.9332559825978652,857.5431508504143,1,1
p_V,3.0665893159311985,1165.7067625626182,1,1
p_V,3.199922649264532,1584.610937579811,1,1
p_V,3.333255982597865,2154.0510050551284,1,1
p_V,3.4665893159311985,2928.1229999999996,1,1
