parameter,log10_value,param_value,contained,solver_success
p_F,-3.21708936069334,0.0006066115,0,1
p_F,-3.083756027360007,0.0008246012193054087,0,1
p_F,-2.9504226940266736,0.0011209269373890318,0,1
p_F,-2.8170893606933403,0.0015237391960476734,0,1
p_F,-2.683756027360007,0.0020713046141795114,0,1
p_F,-2.5504226940266737,0.0028156411647410973,0,1
p_F,-2.4170893606933403,0.003827459811711466,0,1
p_F,-2.283756027360007,0.0052028819558807,0,1
p_F,-2.1504226940266733,0.007072570837712998,0,1
p_F,-2.01708936069334,0.009614144368186252,0,1
p_F,-1.883756027360007,0.013069048589722758,0,1
p_F,-1.7504226940266736,0.017765494723141612,0,1
p_F,-1.61708936069334,0.024149638789021283,0,1
p_F,-1.4837560273600068,0.03282796582526402,1,1
p_F,-1.3504226940266735,0.04462490514411448,1,1
p_F,-1.2170893606933402,0.06066115,1,1
p_F,-1.0837560273600069,0.08246012193054086,1,1
p_F,-0.9504226940266735,0.11209269373890322,1,1
p_F,-0.8170893606933401,0.15237391960476737,1,1
p_F,-0.6837560273600068,0.2071304614179512,1,1
p_F,-0.5504226940266735,0.2815641164741098,1,1
p_F,-0.4170893606933402,0.3827459811711467,1,1
p_F,-0.2837560273600068,0.5202881955880702,1,1
p_F,-0.1504226940266735,0.7072570837712995,1,1
p_F,-0.01708936069334017,0.9614144368186247,1,1
p_F,0.11624397263999316,1.306904858972276,1,1
p_F,0.2495773059733265,1.7765494723141617,1,1
p_F,0.3829106393066598,2.4149638789021277,1,1
p_F,0.5162439726399931,3.282796582526401,1,1
p_F,0.6495773059733265,4.4624905144114475,1,1
p_F,0.7829106393066598,6.066115,1,1
