parameter,log10_value,param_value,contained,solver_success
K_F,-0.7069898861727941,0.19634059999999998,0,1
K_F,-0.5736565528394608,0.2668968493989242,0,1
K_F,-0.44032321950612746,0.36280793793577104,0,1
K_F,-0.3069898861727941,0.49318528909444986,0,1
K_F,-0.17365655283946077,0.6704145746178136,0,1
K_F,-0.04032321950612742,0.9113323365448331,0,1
K_F,0.09301011382720592,1.2388254358964783,0,1
K_F,0.22634344716053925,1.6840052734687532,0,1
K_F,0.3596767804938726,2.289163330762889,0,1
K_F,0.49301011382720594,3.1117888034373054,1,1
K_F,0.6263434471605392,4.23002999701674,1,1
K_F,0.7596767804938727,5.750118310052578,1,1
K_F,0.893010113827206,7.816460073077599,1,1
K_F,1.0263434471605393,10.62535495438486,1,1
K_F,1.1596767804938726,14.443644162595865,1,1
K_F,1.2930101138272059,19.634059999999998,1,1
K_F,1.4263434471605394,26.689684939892434,0,1
K_F,1.5596767804938727,36.28079379357712,0,1
K_F,1.693010113827206,49.318528909445,0,1
K_F,1.8263434471605393,67.04145746178138,0,1
K_F,1.9596767804938726,91.13323365448332,0,1
K_F,2.093010113827206,123.88254358964784,0,1
K_F,2.2263434471605392,168.4005273468753,0,1
K_F,2.3596767804938725,228.91633307628885,0,1
K_F,2.4930101138272063,311.1788803437308,0,1
K_F,2.6263434471605396,423.0029997016744,0,1
K_F,2.759676780493873,575.0118310052582,0,1
K_F,2.893010113827206,781.6460073077603,0,1
K_F,3.0263434471605395,1062.5354954384866,0,1
K_F,3.159676780493873,1444.3644162595872,0,1
K_F,3.293010113827206,1963.4060000000009,0,1
