param1,param2,log10_val1,log10_val2,val1,val2,contained,solver_success
p_F,K_F,-3.21708936069334,-0.7069898861727941,0.0006066115,0.19634059999999998,1,1
p_F,K_F,-3.21708936069334,-0.5736565528394608,0.0006066115,0.2668968493989242,1,1
p_F,K_F,-3.21708936069334,-0.44032321950612746,0.0006066115,0.36280793793577104,1,1
p_F,K_F,-3.21708936069334,-0.3069898861727941,0.0006066115,0.49318528909444986,1,1
p_F,K_F,-3.21708936069334,-0.17365655283946077,0.0006066115,0.6704145746178136,1,1
p_F,K_F,-3.21708936069334,-0.04032321950612742,0.0006066115,0.9113323365448331,1,1
p_F,K_F,-3.21708936069334,0.09301011382720592,0.0006066115,1.2388254358964783,0,1
p_F,K_F,-3.21708936069334,0.22634344716053925,0.0006066115,1.6840052734687532,0,1
p_F,K_F,-3.21708936069334,0.3596767804938726,0.0006066115,2.289163330762889,0,1
p_F,K_F,-3.21708936069334,0.49301011382720594,0.0006066115,3.1117888034373054,0,1
p_F,K_F,-3.21708936069334,0.6263434471605392,0.0006066115,4.23002999701674,0,1
p_F,K_F,-3.21708936069334,0.7596767804938727,0.0006066115,5.750118310052578,0,1
p_F,K_F,-3.21708936069334,0.893010113827206,0.0006066115,7.816460073077599,0,1
p_F,K_F,-3.21708936069334,1.0263434471605393,0.0006066115,10.62535495438486,0,1
p_F,K_F,-3.21708936069334,1.1596767804938726,0.0006066115,14.443644162595865,0,1
p_F,K_F,-3.21708936069334,1.2930101138272059,0.0006066115,19.634059999999998,0,1
p_F,K_F,-3.21708936069334,1.4263434471605394,0.0006066115,26.689684939892434,0,1
p_F,K_F,-3.21708936069334,1.5596767804938727,0.0006066115,36.28079379357712,0,1
p_F,K_F,-3.21708936069334,1.693010113827206,0.0006066115,49.318528909445,0,1
p_F,K_F,-3.21708936069334,1.8263434471605393,0.0006066115,67.04145746178138,0,1
p_F,K_F,-3.21708936069334,1.9596767804938726,0.0006066115,91.13323365448332,0,1
p_F,K_F,-3.21708936069334,2.093010113827206,0.0006066115,123.88254358964784,0,1
p_F,K_F,-3.21708936069334,2.2263434471605392,0.0006066115,168.4005273468753,0,1
p_F,K_F,-3.21708936069334,2.3596767804938725,0.0006066115,228.91633307628885,0,1
p_F,K_F,-3.21708936069334,2.4930101138272063,0.0006066115,311.1788803437308,0,1
p_F,K_F,-3.21708936069334,2.6263434471605396,0.0006066115,423.0029997016744,0,1
p_F,K_F,-3.21708936069334,2.759676780493873,0.0006066115,575.0118310052582,0,1
p_F,K_F,-3.21708936069334,2.893010113827206,0.0006066115,781.6460073077603,0,1
p_F,K_F,-3.21708936069334,3.0263434471605395,0.0006066115,1062.5354954384866,0,1
p_F,K_F,-3.21708936069334,3.159676780493873,0.0006066115,1444.3644162595872,0,1
p_F,K_F,-3.21708936069334,3.293010113827206,0.0006066115,1963.4060000000009,0,1
p_F,K_F,-3.083756027360007,-0.7069898861727941,0.0008246012193054087,0.19634059999999998,1,1
p_F,K_F,-3.083756027360007,-0.5736565528394608,0.0008246012193054087,0.2668968493989242,1,1
p_F,K_F,-3.083756027360007,-0.44032321950612746,0.0008246012193054087,0.36280793793577104,1,1
p_F,K_F,-3.083756027360007,-0.3069898861727941,0.0008246012193054087,0.49318528909444986,1,1
p_F,K_F,-3.083756027360007,-0.17365655283946077,0.0008246012193054087,0.6704145746178136,1,1
p_F,K_F,-3.083756027360007,-0.04032321950612742,0.0008246012193054087,0.9113323365448331,1,1
p_F,K_F,-3.083756027360007,0.09301011382720592,0.0008246012193054087,1.2388254358964783,1,1
p_F,K_F,-3.083756027360007,0.22634344716053925,0.0008246012193054087,1.6840052734687532,0,1
p_F,K_F,-3.083756027360007,0.3596767804938726,0.0008246012193054087,2.289163330762889,0,1
p_F,K_F,-3.083756027360007,0.49301011382720594,0.0008246012193054087,3.1117888034373054,0,1
p_F,K_F,-3.083756027360007,0.6263434471605392,0.0008246012193054087,4.23002999701674,0,1
p_F,K_F,-3.083756027360007,0.7596767804938727,0.0008246012193054087,5.750118310052578,0,1
p_F,K_F,-3.083756027360007,0.893010113827206,0.0008246012193054087,7.816460073077599,0,1
p_F,K_F,-3.083756027360007,1.0263434471605393,0.0008246012193054087,10.62535495438486,0,1
p_F,K_F,-3.083756027360007,1.1596767804938726,0.0008246012193054087,14.443644162595865,0,1
p_F,K_F,-3.083756027360007,1.2930101138272059,0.0008246012193054087,19.634059999999998,0,1
p_F,K_F,-3.083756027360007,1.4263434471605394,0.0008246012193054087,26.689684939892434,0,1
p_F,K_F,-3.083756027360007,1.5596767804938727,0.0008246012193054087,36.28079379357712,0,1
p_F,K_F,-3.083756027360007,1.693010113827206,0.0008246012193054087,49.318528909445,0,1
p_F,K_F,-3.083756027360007,1.8263434471605393,0.0008246012193054087,67.04145746178138,0,1
p_F,K_F,-3.083756027360007,1.9596767804938726,0.0008246012193054087,91.13323365448332,0,1
p_F,K_F,-3.083756027360007,2.093010113827206,0.0008246012193054087,123.88254358964784,0,1
p_F,K_F,-3.083756027360007,2.2263434471605392,0.0008246012193054087,168.4005273468753,0,1
p_F,K_F,-3.083756027360007,2.3596767804938725,0.0008246012193054087,228.91633307628885,0,1
p_F,K_F,-3.083756027360007,2.4930101138272063,0.0008246012193054087,311.1788803437308,0,1
p_F,K_F,-3.083756027360007,2.6263434471605396,0.0008246012193054087,423.0029997016744,0,1
p_F,K_F,-3.083756027360007,2.759676780493873,0.0008246012193054087,575.0118310052582,0,1
p_F,K_F,-3.083756027360007,2.893010113827206,0.0008246012193054087,781.6460073077603,0,1
p_F,K_F,-3.083756027360007,3.0263434471605395,0.0008246012193054087,1062.5354954384866,0,1
p_F,K_F,-3.083756027360007,3.159676780493873,0.0008246012193054087,1444.3644162595872,0,1
p_F,K_F,-3.083756027360007,3.293010113827206,0.0008246012193054087,1963.4060000000009,0,1
p_F,K_F,-2.9504226940266736,-0.7069898861727941,0.0011209269373890318,0.19634059999999998,1,1
p_F,K_F,-2.9504226940266736,-0.5736565528394608,0.0011209269373890318,0.2668968493989242,1,1
p_F,K_F,-2.9504226940266736,-0.44032321950612746,0.0011209269373890318,0.36280793793577104,1,1
p_F,K_F,-2.9504226940266736,-0.3069898861727941,0.0011209269373890318,0.49318528909444986,1,1
p_F,K_F,-2.9504226940266736,-0.17365655283946077,0.0011209269373890318,0.6704145746178136,1,1
p_F,K_F,-2.9504226940266736,-0.04032321950612742,0.0011209269373890318,0.9113323365448331,1,1
p_F,K_F,-2.9504226940266736,0.09301011382720592,0.0011209269373890318,1.2388254358964783,1,1
p_F,K_F,-2.9504226940266736,0.22634344716053925,0.0011209269373890318,1.6840052734687532,1,1
p_F,K_F,-2.9504226940266736,0.3596767804938726,0.0011209269373890318,2.289163330762889,0,1
p_F,K_F,-2.9504226940266736,0.49301011382720594,0.0011209269373890318,3.1117888034373054,0,1
p_F,K_F,-2.9504226940266736,0.6263434471605392,0.0011209269373890318,4.23002999701674,0,1
p_F,K_F,-2.9504226940266736,0.7596767804938727,0.0011209269373890318,5.750118310052578,0,1
p_F,K_F,-2.9504226940266736,0.893010113827206,0.0011209269373890318,7.816460073077599,0,1
p_F,K_F,-2.9504226940266736,1.0263434471605393,0.0011209269373890318,10.62535495438486,0,1
p_F,K_F,-2.9504226940266736,1.1596767804938726,0.0011209269373890318,14.443644162595865,0,1
p_F,K_F,-2.9504226940266736,1.2930101138272059,0.0011209269373890318,19.634059999999998,0,1
p_F,K_F,-2.9504226940266736,1.4263434471605394,0.0011209269373890318,26.689684939892434,0,1
p_F,K_F,-2.9504226940266736,1.5596767804938727,0.0011209269373890318,36.28079379357712,0,1
p_F,K_F,-2.9504226940266736,1.693010113827206,0.0011209269373890318,49.318528909445,0,1
p_F,K_F,-2.9504226940266736,1.8263434471605393,0.0011209269373890318,67.04145746178138,0,1
p_F,K_F,-2.9504226940266736,1.9596767804938726,0.0011209269373890318,91.13323365448332,0,1
p_F,K_F,-2.9504226940266736,2.093010113827206,0.0011209269373890318,123.88254358964784,0,1
p_F,K_F,-2.9504226940266736,2.2263434471605392,0.0011209269373890318,168.4005273468753,0,1
p_F,K_F,-2.9504226940266736,2.3596767804938725,0.0011209269373890318,228.91633307628885,0,1
p_F,K_F,-2.9504226940266736,2.4930101138272063,0.0011209269373890318,311.1788803437308,0,1
p_F,K_F,-2.9504226940266736,2.6263434471605396,0.0011209269373890318,423.0029997016744,0,1
p_F,K_F,-2.9504226940266736,2.759676780493873,0.0011209269373890318,575.0118310052582,0,1
p_F,K_F,-2.9504226940266736,2.893010113827206,0.0011209269373890318,781.6460073077603,0,1
p_F,K_F,-2.9504226940266736,3.0263434471605395,0.0011209269373890318,1062.5354954384866,0,1
p_F,K_F,-2.9504226940266736,3.159676780493873,0.0011209269373890318,1444.3644162595872,0,1
p_F,K_F,-2.9504226940266736,3.293010113827206,0.0011209269373890318,1963.4060000000009,0,1
p_F,K_F,-2.8170893606933403,-0.7069898861727941,0.0015237391960476734,0.19634059999999998,1,1
p_F,K_F,-2.8170893606933403,-0.5736565528394608,0.0015237391960476734,0.2668968493989242,1,1
p_F,K_F,-2.8170893606933403,-0.44032321950612746,0.0015237391960476734,0.36280793793577104,1,1
p_F,K_F,-2.8170893606933403,-0.3069898861727941,0.0015237391960476734,0.49318528909444986,1,1
p_F,K_F,-2.8170893606933403,-0.17365655283946077,0.0015237391960476734,0.6704145746178136,1,1
p_F,K_F,-2.8170893606933403,-0.04032321950612742,0.0015237391960476734,0.9113323365448331,1,1
p_F,K_F,-2.8170893606933403,0.09301011382720592,0.0015237391960476734,1.2388254358964783,1,1
p_F,K_F,-2.8170893606933403,0.22634344716053925,0.0015237391960476734,1.6840052734687532,1,1
p_F,K_F,-2.8170893606933403,0.3596767804938726,0.0015237391960476734,2.289163330762889,0,1
p_F,K_F,-2.8170893606933403,0.49301011382720594,0.0015237391960476734,3.1117888034373054,0,1
p_F,K_F,-2.8170893606933403,0.6263434471605392,0.0015237391960476734,4.23002999701674,0,1
p_F,K_F,-2.8170893606933403,0.7596767804938727,0.0015237391960476734,5.750118310052578,0,1
