param1,param2,log10_val1,log10_val2,val1,val2,contained,solver_success
D_F,D_V,-2.0239570248012306,-8.0,0.009463307999999997,1.0e-8,1,1
D_F,D_V,-2.0239570248012306,-7.866666666666666,0.009463307999999997,1.359356390878527e-8,1,1
D_F,D_V,-2.0239570248012306,-7.733333333333333,0.009463307999999997,1.8478497974222906e-8,1,1
D_F,D_V,-2.0239570248012306,-7.6,0.009463307999999997,2.511886431509582e-8,1,1
D_F,D_V,-2.0239570248012306,-7.466666666666667,0.009463307999999997,3.4145488738336004e-8,1,1
D_F,D_V,-2.0239570248012306,-7.333333333333333,0.009463307999999997,4.641588833612782e-8,1,1
D_F,D_V,-2.0239570248012306,-7.2,0.009463307999999997,6.30957344480193e-8,1,1
D_F,D_V,-2.0239570248012306,-7.066666666666666,0.009463307999999997,8.576958985908945e-8,1,1
D_F,D_V,-2.0239570248012306,-6.933333333333334,0.009463307999999997,1.1659144011798311e-7,1,1
D_F,D_V,-2.0239570248012306,-6.8,0.009463307999999997,1.584893192461114e-7,1,1
D_F,D_V,-2.0239570248012306,-6.666666666666667,0.009463307999999997,2.1544346900318822e-7,1,1
D_F,D_V,-2.0239570248012306,-6.533333333333333,0.009463307999999997,2.928644564625237e-7,1,1
D_F,D_V,-2.0239570248012306,-6.4,0.009463307999999997,3.981071705534969e-7,1,1
D_F,D_V,-2.0239570248012306,-6.266666666666667,0.009463307999999997,5.411695265464637e-7,1,1
D_F,D_V,-2.0239570248012306,-6.133333333333334,0.009463307999999997,7.356422544596406e-7,1,1
D_F,D_V,-2.0239570248012306,-6.0,0.009463307999999997,1.0e-6,1,1
D_F,D_V,-2.0239570248012306,-5.866666666666666,0.009463307999999997,1.359356390878527e-6,1,1
D_F,D_V,-2.0239570248012306,-5.733333333333333,0.009463307999999997,1.8478497974222906e-6,1,1
D_F,D_V,-2.0239570248012306,-5.6,0.009463307999999997,2.5118864315095823e-6,1,1
D_F,D_V,-2.0239570248012306,-5.466666666666667,0.009463307999999997,3.4145488738336005e-6,1,1
D_F,D_V,-2.0239570248012306,-5.333333333333333,0.009463307999999997,4.641588833612782e-6,1,1
D_F,D_V,-2.0239570248012306,-5.2,0.009463307999999997,6.30957344480193e-6,1,1
D_F,D_V,-2.0239570248012306,-5.066666666666666,0.009463307999999997,8.576958985908945e-6,1,1
D_F,D_V,-2.0239570248012306,-4.933333333333334,0.009463307999999997,1.165914401179831e-5,1,1
D_F,D_V,-2.0239570248012306,-4.8,0.009463307999999997,1.584893192461114e-5,1,1
D_F,D_V,-2.0239570248012306,-4.666666666666667,0.009463307999999997,2.1544346900318823e-5,1,1
D_F,D_V,-2.0239570248012306,-4.533333333333333,0.009463307999999997,2.9286445646252374e-5,1,1
D_F,D_V,-2.0239570248012306,-4.4,0.009463307999999997,3.9810717055349695e-5,1,1
D_F,D_V,-2.0239570248012306,-4.266666666666667,0.009463307999999997,5.411695265464637e-5,1,1
D_F,D_V,-2.0239570248012306,-4.133333333333334,0.009463307999999997,7.356422544596406e-5,1,1
D_F,D_V,-2.0239570248012306,-4.0,0.009463307999999997,0.0001,1,1
D_F,D_V,-1.8906236914678973,-8.0,0.012864008208651873,1.0e-8,1,1
D_F,D_V,-1.8906236914678973,-7.866666666666666,0.012864008208651873,1.359356390878527e-8,1,1
D_F,D_V,-1.8906236914678973,-7.733333333333333,0.012864008208651873,1.8478497974222906e-8,1,1
D_F,D_V,-1.8906236914678973,-7.6,0.012864008208651873,2.511886431509582e-8,1,1
D_F,D_V,-1.8906236914678973,-7.466666666666667,0.012864008208651873,3.4145488738336004e-8,1,1
D_F,D_V,-1.8906236914678973,-7.333333333333333,0.012864008208651873,4.641588833612782e-8,1,1
D_F,D_V,-1.8906236914678973,-7.2,0.012864008208651873,6.30957344480193e-8,1,1
D_F,D_V,-1.8906236914678973,-7.066666666666666,0.012864008208651873,8.576958985908945e-8,1,1
D_F,D_V,-1.8906236914678973,-6.933333333333334,0.012864008208651873,1.1659144011798311e-7,1,1
D_F,D_V,-1.8906236914678973,-6.8,0.012864008208651873,1.584893192461114e-7,1,1
D_F,D_V,-1.8906236914678973,-6.666666666666667,0.012864008208651873,2.1544346900318822e-7,1,1
D_F,D_V,-1.8906236914678973,-6.533333333333333,0.012864008208651873,2.928644564625237e-7,1,1
